ra	dec	velocity	z	dist_v2
195.0695	27.94414	5366	0.017899	6.549250889034446
195.07362	27.95539	6903	0.023025999999999998	6.5670128518359405
195.07487	27.95678	6371	0.021251	6.612840457381386
195.075	27.95722	6661	0.022219	6.613880440755215
195.06533000000002	28.02954	6985	0.023299	6.630613973117248
195.00429	28.08186	7765	0.0259	6.648885404958215
194.84755	27.91957	6824	0.022762	6.6872226797662675
195.06144	28.0413	5737	0.019137	6.796054711834602
194.93421999999998	27.867690000000003	6196	0.020668000000000002	6.853363446062652
195.08231	27.984720000000003	7035	0.023466	6.852933425749685
195.07867	28.00931	6202	0.020687999999999998	6.872963518520699
194.84735	27.911590000000004	6859	0.022879	6.97001561794838
195.05593000000002	28.053290000000004	8135	0.027135000000000003	6.976122050737404
194.87843999999998	27.884209999999996	4755	0.015861	7.011226513720503
195.06823	27.92284	4665	0.015561000000000002	7.022328078238099
194.81961	27.982570000000003	7195	0.024	7.0715437152337515
194.905	27.870440000000002	6189	0.020644	7.0888069497436375
195.04641	28.06525	7387	0.024640000000000002	7.084388581733884
194.96567	28.09853	7634	0.025463999999999997	7.101657082748743
195.07823	27.93705	5293	0.017656	7.132089138489099
194.99206	27.86611	8634	0.0288	7.179297277046289
195.03329	28.078570000000003	7268	0.024243	7.248796143897846
194.84125	27.91	6875	0.022932	7.287611417733989
195.04988	28.06775	7104	0.023696000000000002	7.320095394869241
194.81353000000001	27.97072	4786	0.015964	7.417388758683898
194.94218	27.85724	8117	0.027075	7.42964062617075
195.07671000000002	27.921359999999996	8155	0.027201999999999997	7.458366345008316
195.07792	27.920170000000002	6925	0.0231	7.548901267235011
195.09439	27.965259999999997	5216	0.0174	7.546446914559087
194.89702	27.863640000000004	6274	0.020928	7.625656369899928
194.84423999999999	27.89688	5087	0.016968	7.652308838922078
195.09682	27.996940000000002	6321	0.021085	7.679177438413776
195.05896	28.068720000000003	7255	0.0242	7.70447168999085
195.0536	28.0755	7506	0.025037	7.792009300551605
195.09519	28.015859999999996	9272	0.030927999999999997	7.820064253871902
194.91458	27.85453	3834	0.012789	7.8398474958050635
194.80462	27.977	6755	0.022532	7.868231492648682
195.10356000000002	27.9894	9217	0.030744999999999998	7.991530350156732
195.07095	28.063909999999996	6152	0.020521	7.995185582019925
194.88288	27.861309999999996	4640	0.015477000000000001	8.071549499111088
195.07643000000002	28.05929	9977	0.033280000000000004	8.058707416754451
194.88166999999999	28.10053	7420	0.02475	8.123352734726712
195.09161	28.03855	8051	0.026855	8.119121707086494
195.03821000000002	27.866559999999996	5136	0.017131999999999998	8.20221085138192
195.04083	27.86611	5128	0.017105000000000002	8.30182339011537
195.10443	27.9439	6946	0.023169	8.320445569276615
195.09544	27.92088	5270	0.017579	8.35649446156671
194.79811	28.00927	6942	0.023156	8.38597421546635
195.09223	28.047009999999997	8198	0.027346	8.377400045763231
194.83416	28.07429	7165	0.0239	8.437371293996138
195.109	28.0089	5528	0.01844	8.433476032182497
195.04265	27.863970000000002	9902	0.033030000000000004	8.462269318603427
195.11158	27.998170000000002	7195	0.024	8.464231444608059
194.83405	27.886	6452	0.021522	8.489778053661448
195.08911	28.057609999999997	7870	0.026251	8.557570925512353
194.88548	27.850740000000002	8184	0.0273	8.58092955288833
195.10342	27.926640000000003	7955	0.026535000000000003	8.604009260976632
195.11391	28.009290000000004	6428	0.021440999999999998	8.693043390069057
195.08055	28.07289	7349	0.024513999999999998	8.729188060428598
195.09779	28.05053	7076	0.023603	8.736896657162777
195.05678999999998	27.86719	7451	0.024853999999999998	8.753493135002236
195.11583000000002	27.955940000000002	6984	0.023296	8.752827275683128
